iter	Passed	Remaining
0	108	10789
1	206	10134
2	298	9653
3	375	9018
4	446	8478
5	494	7753
6	534	7095
7	575	6623
8	616	6232
9	660	5941
10	705	5705
11	791	5805
12	847	5672
13	896	5507
14	944	5351
15	990	5200
16	1035	5058
17	1100	5011
18	1147	4891
19	1188	4752
20	1241	4670
21	1300	4610
22	1365	4570
23	1419	4493
24	1470	4412
25	1519	4324
26	1557	4210
27	1597	4108
28	1634	4002
29	1763	4113
30	1832	4078
31	1871	3975
32	1910	3878
33	1947	3780
34	1985	3687
35	2023	3597
36	2061	3510
37	2107	3439
38	2149	3362
39	2188	3282
40	2226	3203
41	2262	3124
42	2303	3053
43	2340	2978
44	2377	2906
45	2417	2838
46	2455	2769
47	2497	2705
48	2535	2638
49	2576	2576
50	2614	2511
51	2654	2450
52	2695	2390
53	2734	2329
54	2772	2268
55	2811	2208
56	2852	2151
57	2926	2119
58	3000	2084
59	3086	2057
60	3146	2011
61	3239	1985
62	3283	1928
63	3344	1881
64	3390	1825
65	3430	1767
66	3467	1708
67	3505	1649
68	3554	1597
69	3627	1554
70	3662	1496
71	3714	1444
72	3756	1389
73	3798	1334
74	3838	1279
75	3882	1226
76	3920	1171
77	3958	1116
78	3995	1062
79	4032	1008
80	4077	956
81	4113	903
82	4150	850
83	4188	797
84	4226	745
85	4280	696
86	4389	655
87	4460	608
88	4566	564
89	4673	519
90	4711	466
91	4747	412
92	4789	360
93	4826	308
94	4869	256
95	4918	204
96	4957	153
97	5004	102
98	5051	51
99	5088	0
